Language,Num_UPOS,Num_DEPREL,UPOS_Coverage,DEPREL_Coverage
Arabic,16,39,94.1%,41.5%
Chinese,15,44,88.2%,46.8%
Czech,15,43,88.2%,45.7%
English,17,47,100.0%,50.0%
Finnish,15,44,88.2%,46.8%
French,15,44,88.2%,46.8%
Galician,15,35,88.2%,37.2%
German,16,45,94.1%,47.9%
Hindi,16,38,94.1%,40.4%
Icelandic,17,35,100.0%,37.2%
Indonesian,17,47,100.0%,50.0%
Italian,16,39,94.1%,41.5%
Japanese,16,25,94.1%,26.6%
Korean,13,34,76.5%,36.2%
Portuguese,16,40,94.1%,42.6%
Russian,17,40,100.0%,42.6%
Spanish,17,43,100.0%,45.7%
Swedish,16,42,94.1%,44.7%
Thai,16,42,94.1%,44.7%
Turkish,16,38,94.1%,40.4%
