UPOS,Arabic,Chinese,Czech,English,Finnish,French,Galician,German,Hindi,Icelandic,Indonesian,Italian,Japanese,Korean,Portuguese,Russian,Spanish,Swedish,Thai,Turkish,Total
ADJ,2026,650,2269,1554,1142,1624,1431,1413,1995,1167,1026,1615,614,629,1550,2089,1480,1565,969,1667,28475
ADP,3576,1288,1842,2489,319,3893,3821,2043,4847,2342,1898,3808,6642,0,3817,2094,3963,2448,3134,695,54959
ADV,404,1283,833,816,965,1001,850,1051,161,1214,678,849,323,528,843,726,893,994,951,844,16207
AUX,186,955,682,1015,826,1028,458,872,1366,974,405,985,3322,663,807,296,634,731,1159,489,17853
CCONJ,653,283,661,576,596,561,576,742,545,692,564,582,145,125,578,624,582,638,606,493,10822
DET,166,352,841,2080,0,3878,3815,3106,876,22,739,3785,210,464,3541,493,3339,1016,1026,689,30438
INTJ,0,0,0,1,2,0,0,0,0,2,4,0,1,0,1,1,1,1,0,2,16
NOUN,5578,5413,4482,4020,4221,4672,4576,4190,5597,4101,4688,4392,7424,8052,4600,4897,4815,4038,6052,5829,101637
NUM,371,873,459,464,387,451,502,356,452,440,501,444,655,513,469,290,435,402,581,381,9426
PART,566,1483,62,451,0,0,0,233,316,349,225,7,210,478,0,270,2,414,608,0,5674
PRON,1299,710,576,1044,1159,1097,942,980,1128,1370,1330,861,443,374,934,794,1039,1336,683,306,18405
PROPN,1728,1361,1092,1723,1503,1272,1367,1218,1358,1464,2113,1756,1363,1677,1393,1209,1253,1216,1491,1525,29082
PUNCT,2226,2902,2624,2451,2339,2554,2454,2771,2297,1953,2384,2303,3054,1595,2565,2977,2290,1941,272,2146,46098
SCONJ,187,28,452,288,311,223,363,327,382,724,414,218,990,0,232,365,261,364,1,13,6143
SYM,30,0,15,42,14,38,18,22,30,17,38,49,223,0,40,20,21,1,134,4,756
VERB,1750,3528,1719,2149,2015,2254,2258,1978,2468,1998,2395,2054,3169,1439,2032,2115,2265,1971,4651,1694,45902
X,1,306,0,17,14,180,79,30,11,4,44,24,0,47,5,95,11,0,4,104,976
TOTAL,20747,21415,18609,21180,15813,24726,23510,21332,23829,18833,19446,23732,28788,16584,23407,19355,23284,19076,22322,16881,422869
